Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The Dutchman's Gold,Weavers Needle > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/109948979/the-dutchmans-gold,3.0,-1,Trad,5.9 R,5,500.0,33.43319,-111.37087
Lost Love,The Coven > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/121983081/lost-love,3.0,-1,Trad,5.8,1,,33.45055,-111.4605
For Cryin' Out Loud,Gardener's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118141430/for-cryin-out-loud,3.3,-1,Trad,5.10+,2,220.0,33.68178,-111.80737
Black Streak,Gardener's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118212400/black-streak,3.0,-1,Trad,5.10,1,105.0,33.68178,-111.80737
Blow Fly's Last Ride,The Loaf > Little Granite Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120090141/blow-flys-last-ride,3.0,-1,Sport,5.10c,1,160.0,33.77748,-111.80311
Fool's Gold,Weavers Needle > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/109950048/fools-gold,3.0,-1,Trad,5.9+ PG13,1,200.0,33.43319,-111.37087
Gravity,Gardener's Wall > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118212268/gravity,3.0,-1,Trad,5.10,1,47.0,33.68178,-111.80737
Wattle N' Daub,Noah's Ark > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118182744/wattle-n-daub,3.0,-1,Sport,5.9,1,73.0,33.68478,-111.79033
Desert Solitaire,Torrid Wall > Little Granite Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120090801/desert-solitaire,3.0,-1,Trad,5.8,1,80.0,33.7782,-111.80297
Peter Rock,Forrest Spires > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118017359/peter-rock,3.0,-1,Trad,5.8 R,2,130.0,33.44075,-111.46614
Ridge Route,Boulder Canyon > Camelback Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/113752561/ridge-route,3.0,-1,Trad,5.7,2,,33.5145,-111.9618
Voluptuous Ham(ster),Pinnacle Peak > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/107991706/voluptuous-hamster,3.0,-1,Trad,5.8 R,1,100.0,33.72624,-111.86334
Bombs Away,Nosepicker Pinnacles > Superstition Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/109979166/bombs-away,3.0,-1,Trad,5.10a R,1,100.0,33.41096,-111.35952
Spare Parts,Tom's Thumb > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/121996333/spare-parts,3.0,-1,Trad,5.8,1,160.0,33.68174,-111.81143
StarrStruk,Greevers' Needle > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120140603/starrstruk,3.0,-1,Trad,5.7 PG13,1,65.0,33.46891,-111.5448
Men at Work Variation,Tom's Thumb > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120258571/men-at-work-variation,3.0,-1,Trad,5.11a,1,35.0,33.68174,-111.81143
Walk-the-Plank,Sven Tower 3 > Sven Towers > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/118111201/walk-the-plank,3.0,-1,Trad,5.11-,3,250.0,33.68722,-111.7946
The High Road,Upper Tier > Crossroads Wall (AKA Parking Lot Wall) > McDowell Mountains > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/117669403/the-high-road,3.0,-1,"Sport, TR",5.10,1,45.0,33.6807,-111.80956
Flare Thee Well,Roofer Madness and Fairweather Walls > Little Granite Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/119626912/flare-thee-well,3.0,-1,Trad,5.9+,1,70.0,33.78127,-111.80167
Blue Highways,Torrid Wall > Little Granite Mountain > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/120090692/blue-highways,3.0,-1,Trad,5.10b,1,80.0,33.7782,-111.80297
Never Never Land,Pinnacle Peak > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/105981044/never-never-land,3.5,-1,"Trad, Sport",5.10+,1,100.0,33.72624,-111.86334
Short But Nasty,Y-Crack Boulder > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/107357959/short-but-nasty,3.0,-1,Trad,5.9,1,45.0,33.73183,-111.8637
Little Yosemite,Reata Pass West > Pinnacle Peak > **Phoenix Areas > Central Arizona > Arizona,https://www.mountainproject.com/route/106022130/little-yosemite,3.0,-1,Trad,5.7,1,30.0,33.73759,-111.85532
