Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Conquistador,"Civilization Crag > (03) First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106757210/conquistador,3.1,-1,Sport,5.10d,1,35,36.14543,-115.42639
"Classic Corner","Red Springs Rock > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732608/classic-corner,3.0,-1,Trad,5.8,1,170,36.14611,-115.42222
Basement,"The Pier > Parking Lot Area > (05) Sandstone Quarry > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105879899/basement,3.1,-1,Sport,5.11c,1,60,36.1607,-115.44627
"Plan F - first pitch (5.10a)","Ragged Edges Area > (07) Willow Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107793518/plan-f-first-pitch-510a,3.0,-1,Trad,5.10a,1,50,36.15756,-115.49799
Ultraman,"Ultraman Wall > (03) First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732638/ultraman,3.0,-1,"Sport, TR","5.8+ R",1,130,36.15151,-115.43125
"The Heavy Hitter","Lower Level - Right > Lower Level > The Black Corridor > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105826098/the-heavy-hitter,2.9,-1,Sport,5.10c/d,1,60,36.15539,-115.4361
"The De-Nogginizer","Hunter S. Thompson Dome > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105891241/the-de-nogginizer,3.0,-1,Sport,5.11a,1,75,36.15631,-115.43649
"Totally Clips","Panty Wall > (03) First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732320/totally-clips,3.0,-1,Sport,5.11a,1,60,36.14964,-115.4299
"Chasing Shadows","Dark Shadows Wall > Mescalito > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106053513/chasing-shadows,3.1,-1,Trad,5.9,4,320,36.12399,-115.49506
"Group Therapy","Angel Food Wall > Angel Food Area > (06) White Rock Spring > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732473/group-therapy,2.9,-1,Trad,5.7,6,755,36.16926,-115.4896
Y2K,"East Face > Mescalito > (10) Pine Creek Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732287/y2k,3.0,-1,Trad,5.10a,4,400,36.12301,-115.49265
Handbone,"The Monument > (16) Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106388482/handbone,3.3,-1,Trad,5.10,1,70,36.03897,-115.46096
"Manifest Destiny","Civilization Crag > (03) First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106718688/manifest-destiny,3.0,-1,Sport,5.9+,1,70,36.14543,-115.42639
"Nightmare on Crude Street","Lower Level - Right > Lower Level > The Black Corridor > (04) Second Pullout (Calico II) > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732548/nightmare-on-crude-street,3.0,-1,Sport,5.10d,1,60,36.15539,-115.4361
Scorpions,"Sunny and Steep > Kraft Mountain Area > (01) Calico Basin > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105949670/scorpions,3.0,-1,Sport,5.11a,1,50,36.16986,-115.42321
