Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
CLOSED TO CLIMBING Daddy Needs His Medicine,CLOSED TO CLIMBING Lower Tier of the Asylum Wall > CLOSED TO CLIMBING Owl Cove Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/111431289/closed-to-climbing-daddy-needs-his-medicine,3.7,-1,Sport,5.10c,1,100,42.67316,-113.00089
Science Friction,Drilling Fields - Lost World > Drilling Fields > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/113219206/science-friction,3.3,-1,Sport,5.11a,1,150,42.0823,-113.7177
Divine Guidance,The Elephant's Perch > The Sawtooth Range > Central Idaho > Idaho,https://www.mountainproject.com/route/105996555/divine-guidance,3.3,-1,"Trad, Alpine",5.11a R,9,,44.06857,-114.97445
Chocolate Rib,Bracksiek's Pillar > South Hills > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/108087646/chocolate-rib,2.9,-1,Trad,5.9+,3,250,42.13496,-113.67163
Space Cowboy,11. Sea of Joy > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/113591225/space-cowboy,3.2,-1,Sport,5.9,2,170,43.72123,-113.07765
Magic Carpet Ride,11. Sea of Joy > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/113558454/magic-carpet-ride,3.2,-1,Sport,5.10-,2,180,43.72123,-113.07765
59,Middle Wall > Sunny Side > Ross Park > East Idaho > Idaho,https://www.mountainproject.com/route/108191071/59,3.3,-1,"Sport, TR",5.10a,1,,42.83756,-112.41734
Spice of Life,Spice of Life > Q'Emiln Park > North Idaho > Idaho,https://www.mountainproject.com/route/118732179/spice-of-life,3.3,-1,Trad,5.10c,2,70,47.70272,-116.96253
Flies On A Hotdog,Eagle Wall - Left & Center > Eagle Wall > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/111419452/flies-on-a-hotdog,3.3,-1,Sport,5.10a,1,70,42.68172,-113.00445
Rail Yard Blues,The Rail Yard > East Pull Out > Laclede > North Idaho > Idaho,https://www.mountainproject.com/route/108238149/rail-yard-blues,3.3,-1,Trad,5.10c,1,,48.15665,-116.79519
Dust in the Wind,1. The Pit > 01. The Pit and Juniper Wall > Teddy Bear Cove > East Idaho > Idaho,https://www.mountainproject.com/route/118277607/dust-in-the-wind,3.4,-1,Sport,5.10c,1,60,42.72251,-113.0703
Snaphaunce,Lower Fifth Canyon > Q'Emiln Park > North Idaho > Idaho,https://www.mountainproject.com/route/106472617/snaphaunce,3.3,-1,"Sport, TR",5.10b/c,1,,47.70335,-116.96385
Bad Company,02. Classic Rock > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/113185212/bad-company,3.1,-1,Sport,5.10+,1,70,43.71998,-113.07632
Companeros,The Comp Wall > Comp Rock > East Sector > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/107841958/companeros,3.2,-1,"Trad, Sport",5.10c,1,90,42.13546,-113.66962
Nappy Dread,Shade Wall > Box Canyon > Lemhi Range > Central Idaho > Idaho,https://www.mountainproject.com/route/107290463/nappy-dread,3.1,-1,"Sport, Alpine",5.10c,3,350,43.86829,-112.9155
Bardini Wall,Bardini Wall > Box Canyon > Lemhi Range > Central Idaho > Idaho,https://www.mountainproject.com/route/107290942/bardini-wall,3.2,-1,"Sport, Alpine",5.10c/d,3,300,43.86921,-112.91735
Raptor Arete,Tall Cliffs > Black Cliffs > West Idaho > Idaho,https://www.mountainproject.com/route/109445377/raptor-arete,3.0,-1,Trad,5.10b,1,60,43.5363,-116.0857
It Ain't Hay,West Face/Chimney Rock > Chimney Rock > North Idaho > Idaho,https://www.mountainproject.com/route/108320467/it-aint-hay,3.1,-1,Trad,5.9,1,150,48.61835,-116.69795
Cure for the Hangover,The Playground > East Idaho > Idaho,https://www.mountainproject.com/route/106998050/cure-for-the-hangover,2.9,-1,Sport,5.9,1,60,43.2631,-112.0439
Beef Jello,Beef Jello > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/106436162/beef-jello,3.3,-1,Trad,5.10d,1,50,42.10017,-113.71275
Free Taters For Out Of Staters,Upper Fifth Canyon > Q'Emiln Park > North Idaho > Idaho,https://www.mountainproject.com/route/106482502/free-taters-for-out-of-staters,3.1,-1,Sport,5.11-,1,,47.70252,-116.96123
Baggy Eyes,Connor Columns > South Idaho > Idaho,https://www.mountainproject.com/route/118890082/baggy-eyes,3.4,-1,Trad,5.9,1,50,42.3365,-113.48625
[Redacted],Gang Fight Wall > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/111421175/redacted,3.5,-1,Sport,5.10b,1,40,42.67583,-113.01773
The Lowe Route,North Twin Sister > Twin Sisters > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/109451742/the-lowe-route,3.5,-1,Trad,5.9+,1,150,42.04346,-113.72077
CLOSED TO CLIMBING Toxic Socks Syndrome,CLOSED TO CLIMBING 4 All Star Wall > CLOSED TO CLIMBING Main Wall > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/118640125/closed-to-climbing-toxic-socks-syndrome,3.5,-1,Sport,5.10d,1,,42.67508,-112.99826
Sweet Emotion,02. Classic Rock > Mortal Earth > The Fins > Central Idaho > Idaho,https://www.mountainproject.com/route/113185299/sweet-emotion,3.0,-1,Sport,5.10,1,65,43.71998,-113.07632
Coral Sea,Bardini Wall > Box Canyon > Lemhi Range > Central Idaho > Idaho,https://www.mountainproject.com/route/107290949/coral-sea,3.5,-1,"Sport, Alpine",5.10a,1,150,43.86921,-112.91735
Just For Laughs,Funny Business Wall > Funny Business Area > Massacre Rocks > East Idaho > Idaho,https://www.mountainproject.com/route/111409639/just-for-laughs,3.5,-1,Sport,5.10c,1,60,42.6827,-113.00584
Stagefright,Nausea Wall > City of Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/108275983/stagefright,3.2,-1,Trad,5.11a PG13,1,60,42.04138,-113.71662
La Vida,The Comp Wall > Comp Rock > East Sector > Castle Rocks > South Idaho > Idaho,https://www.mountainproject.com/route/117236297/la-vida,3.0,-1,Trad,5.9,3,300,42.13546,-113.66962
